,title-abstract,label,title
17,"Do SQA programs work – CMM works: A meta analysis
Many software development professionals and managers of software development
organizations re not fully convinced in the profitability of investments
for the advancement of SQA systems. The results included in each
of the articles we found, cannot lead to general conclusions on the
impact of investments in upgrading an SQA system. Our meta analysis
was based on CMM level transition (CMMLT) analysis of available publications
and was for the seven most common performance metric. The CMMLT analysis
is applicable for combined analysis of empirical data from many sources.
Each record in our meta analysis database is calculated as “after-before
ratio”, which is nearly free of the studied organization’s characteristics.Because
the CMM guidelines and SQA requirement are similar, we claim that
the results for CMM programs are also applicable to investments in
SQA systems The extensive database of over 1,800 projects from a
variety of 19 information sources leading to the meta analysis results
– proved that investments in CMM programs and similarly in SQA systems
contribute to software development performance.",1,Do SQA programs work – CMM works: A meta analysis
18,"Hands-on, simulated and remote laboratories: a comparative literature
review
Laboratory-based courses play a critical role in scientific education.
Automation is changing the nature of these laboratories, and there
is a long-running debate about the value of hands-on versus simulated
laboratories. In addition, the introduction of remote laboratories
adds a third category to the debate. Through a review of the literature
related to these labs in education, the authors draw several conclusions
about the state of current research. The debate over different technologies
is confounded by the use of different educational objectives as criteria
for judging the laboratories: Hands-on advocates emphasize design
skills, while remote lab advocates focus on conceptual understanding.
We observe that the boundaries among the three labs are blurred in
the sense that most laboratories are mediated by computers, and that
the psychology of presence may be as important as technology. We
also discuss areas for future research.",0,"Hands-on, simulated and remote laboratories: a comparative literature
review"
19,"A literature survey of the quality economics of defect-detection
techniques
Over the last decades, a considerable amount of empirical knowledge
about the efficiency of defect-detection techniques has been accumulated.
Also a few surveys have summarised those studies with different focuses,
usually for a specific type of technique. This work reviews the results
of empirical studies and associates them with a model of software
quality economics. This allows a better comparison of the different
techniques and supports the application of the model in practice
as several parameters can be approximated with typical average values.
The main contributions are the provision of average values of several
interesting quantities w.r.t. defect detection and the identification
of areas that need further research because of the limited knowledge
available.",0,"A literature survey of the quality economics of defect-detection
techniques"
20,"Distribution Dimensions in Software Development Projects: A Taxonomy
Distribution in software development projects is a complex phenomenon
with many dimensions. In addition to the obvious physical dimension
entailed by geographically dispersed project personnel and resources,
projects must contend with organizational distribution among various
company departments, for example, as well as temporal and stakeholder
distributions. A review of the literature on globally distributed
software development projects produced a preliminary taxonomy based
on a dimensional analysis of distribution. Developers can use this
taxonomy to identify and visualize their project's distribution dimensions
and scopes. A real-world case study of the taxonomy's use illuminates
its value, as well as common challenges and possible solutions to
distribution problems.This article is part of a special issue on
Global Software Development.",0,Distribution Dimensions in Software Development Projects: A Taxonomy
21,"The golden age of software architecture
Since the late 1980s, software architecture has emerged as the principled
understanding of the large-scale structures of software systems.
From its roots in qualitative descriptions of empirically observed
useful system organizations, software architecture has matured to
encompass a broad set of notations, tools, and analysis techniques.
Whereas initially the research area interpreted software practice,
it now offers concrete guidance for complex software design and development.
It has made the transition from basic research to an essential element
of software system design and construction. This retrospective examines
software architecture's growth in the context of a technology maturation
model, matching its significant accomplishments to the model's stages
to gain perspective on where the field stands today. This trajectory
has taken architecture to its golden age.",0,The golden age of software architecture
22,"In search of what we experimentally know about unit testing
Gathering evidence in any discipline is a lengthy procedure, requiring
experimentation and empirical confirmation to transform information
from mere opinion to undisputed fact. Software engineering is a relatively
young field and experimental SE is even younger, so undisputed facts
are few and far between. Nevertheless, ESE's relevance is growing
because experimental results can help practitioners make better decisions.
We have aggregated results from unit-testing experiments with the
aim of identifying information with some experimental basis that
might help practitioners make decisions. Most of the experiments
focus on two important characteristics of testing techniques: effectiveness
and efficiency. Some other experiments study the quality of test-case
sets according to different criteria.",1,In search of what we experimentally know about unit testing
23,"On the success of empirical studies in the international conference
on software engineering
Due to the importance of software architectural documents, its review
became a fundamental activity for the success of software projects
and for the software quality improvement. Software architecture evaluation
is a subject that has been intensively studied by diverse research
groups. However there is a lack of formal reviews aiming at identifying
the existence of software evaluation approaches. The bibliographical
reviews that have been accomplished can not be audited or repeated,
making them entirely dependent upon the researchers for the obtained
results, which could introduce bias on the research results. To prevent
these limitations, this paper describes a systematic review aiming
at the dentification of existing architectural evaluation approaches.
Based on the result of this review, we summarize the main characteristics,
advantages and limitations of the identified evaluation approaches
and propose the requirements for a checklist based software architectural
documents evaluation approach.",1,"On the success of empirical studies in the international conference
on software engineering"
24,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies
The objective of this paper is to determine under what circumstances
individual organisations would be able to rely on cross-company based
estimation models. We performed a systematic review of studies that
compared predictions from crosscompany models with predictions from
within-company models based on analysis of project data. Ten papers
compared cross-company and within-company estimation models, however,
only seven of the papers presented independent results. Of those
seven, three found that crosscompany models were as good as within-company
models, four found cross-company models were significantly worse
than within-company models. Experimental procedures used by the studies
d iffered making it impossible to undertake formal meta-analysis
of the results. The main trend distinguishing study results was that
studies with small single company data sets (i.e. <20 projects) that
used leaveone-out cross-validation all found that the within-company
model was significantly more accurate than

the cross-company model. The results of this review are inconclusive.
It is clear that some organisations would be ill-served by cross-company
models whereas others would benefit. Further studies are needed,
but they must be independent (i.e. based on different data bases
or at least different single comp any data sets). In addition, experimenters
need to standardise their experimental procedures to enable formal
meta-analysis.",1,"A Systematic Review of Cross- vs. Within-Company Cost Estimation
Studies"
25,"What do we know about defect detection methods?
A survey of defect detection studies comparing inspection and testing
techniques yields practical recommendations: use inspections for
requirements and design defects, and use testing for code. Evidence-based
software engineering can help software practitioners decide which
methods to use and for what purpose. EBSE involves defining relevant
questions, surveying and appraising avail able empirical evidence,
and integrating and evaluating new practices in the target environment.
This article helps define questions regarding defect detection techniques
and presents a survey of empirical studies on testing and inspection
techniques. We then interpret the findings in terms of practical
use. The term defect always relates to one or more underlying faults
in an artifact such as code. In the context of this article, defects
map to single faults.",1,What do we know about defect detection methods?
26,"On the success of empirical studies in the international conference
on software engineering
Critiques of the quantity and quality of empirical evaluations in
software engineering have existed for quite some time. However such
critiques are typically not empirically evaluated. This paper fills
this gap by empirically analyzing papers published by ICSE, the prime
research conference on Software Engineering. We present quantitative
and qualitative results of a quasi-random experiment of empirical
evaluations over the lifetime of the conference. Our quantitative
results show the quantity of empirical evaluation has increased over
29 ICSE proceedings but we still have room to improve the soundness
of empirical evaluations in ICSE proceedings. Our qualitative results
point to specific areas of improvement in empirical evaluations.",1,"On the success of empirical studies in the international conference
on software engineering"
27,"A systematic review of statistical power in software engineering
experiments
Statistical power is an inherent part of empirical studies that employ
significance testing and is essential for the planning of studies,
for the interpretation of study results, and for the validity of
study conclusions. This paper reports a quantitative assessment of
the statistical power of empirical software engineering research
based on the 103 papers on controlled experiments (of a total of
5,453 papers) published in nine major software engineering journals
and three conference proceedings in the decade 1993–2002. The results
show that the statistical power of software engineering experiments
falls substantially below accepted norms as well as the levels found
in the related discipline of information systems research. Given
this study's findings, additional attention must be directed to the
adequacy of sample sizes and research designs to ensure acceptable
levels of statistical power. Furthermore, the current reporting of
significance tests should be enhanced by also reporting effect sizes
and confidence intervals.",1,"A systematic review of statistical power in software engineering
experiments"
28,"Are CMM program investments beneficial? Analyzing past studies
Are CMM program investments beneficial? Analyzing past studiesCMM
experts strongly believe that investments in programs promoting an
organization's CMM maturity yield substantial organizational and
economic benefits. In particular, they argue that CMM programs that
implement software process improvements can provide more benefits.",1,Are CMM program investments beneficial? Analyzing past studies
29,"Survey of component-based software development
Because of the extensive uses of components, the Component-Based Software
Engineering (CBSE) process is quite different from that of the traditional
waterfall approach. CBSE not only requires focus on system specification
and development, but also requires additional consideration for overall
system context, individual components properties and component acquisition
and integration process. The term component-based software development
(CBD) can be referred to as the process for building a system using
components. CBD life cycle consists of a set of phases, namely, identifying
and selecting components based on stakeholder requirements, integrating
and assembling the selected components and updating the system as
components evolve over time with newer versions. This work presents
an indicative literature survey of techniques proposed for different
phases of the CBD life cycle. The aim of this survey is to help provide
a better understanding of different CBD techniques for each of these
areas.",0,Survey of component-based software development
30,"Achieving Quality in Open Source Software
The open source software community has published a substantial body
of research on OSS quality. Focusing on this peer-reviewed body of
work lets us draw conclusions from empirical data rather than rely
on the large volume of evangelical opinion that has historically
dominated this field. This body of published research has become
much more critical and objective in its efforts to understand OSS
development, and a consensus has emerged on the key components of
high-quality OSS delivery. This article reviews this body of research
and draws out lessons learned, investigating how the approaches used
to deliver high-quality OSS differ from, and can be incorporated
into, closed-source software development.",0,Achieving Quality in Open Source Software
31,"Stakeholders in Global Requirements Engineering: Lessons Learned from Practice
Due to its communication and collaboration-intensive nature, as well
as inherent interaction with most other development processes, the
practice of requirements engineering is becoming a key challenge
in global software engineering (GSE). In distributed projects, cross-functional
stakeholder groups must specify and manage requirements across cultural,
time-zone, and organizational boundaries. This creates a unique set
of problems, not only when an organization opens new development
subsidiaries across the world but also when software development
is a multiorganizational business affair. We need innovative processes
and technologies to manage stakeholders' expectations and interaction
in global projects. This article reports on the state of the practice,
drawn from industrial empirical studies, of stakeholders' interaction
in global RE. The article revisits stakeholders' needs in global
RE, discusses the challenges they face in distributed interaction,
and offers practical advice to alleviate these challenges, as distilled
from empirical studies of GSE practice.",0,Stakeholders in Global Requirements Engineering: Lessons Learned from Practice
32,"A systematic review of theory use in software engineering experiments
Empirically based theories are generally perceived as foundational
to science. However, in many disciplines, the nature, role and even
the necessity of theories remain matters for debate, particularly
in young or practical disciplines such as software engineering. This
article reports a systematic review of the explicit use of theory
in a comprehensive set of 103 articles reporting experiments, from
of a total of 5,453 articles published in major software engineering
journals and conferences in the decade 1993-2002. Of the 103 articles,
24 use a total of 40 theories in various ways to explain the cause-effect
relationship(s) under investigation. The majority of these use theory
in the experimental design to justify research questions and hypotheses,
some use theory to provide post hoc explanations of their results,
and a few test or modify theory. A third of the theories are proposed
by authors of the reviewed articles. The interdisciplinary nature
of the theories used is greater than that of research in software
engineering in general. We found that theory use and awareness of
theoretical issues are present, but that theory-driven research is,
as yet, not a major issue in empirical software engineering. Several
articles comment explicitly on the lack of relevant theory. We call
for an increased awareness of the potential benefits of involving
theory, when feasible. To support software engineering researchers
who wish to use theory, we show which of the reviewed articles on
which topics use which theories for what purposes, as well as details
of the theories' characteristics.",1,A systematic review of theory use in software engineering experiments
33,"Estimation of software development work effort: evidence on expert
judgement and formal models
The review presented in this paper examines the evidence on the use
of expert judgement, formal models, and a combination of these two
approaches when estimating (forecasting) software development work
effort. Sixteen relevant studies were identified and reviewed. The
review found that the average accuracy of expert judgement-based
effort estimates was higher than the average accuracy of the models
in ten of the sixteen studies. Two indicators of higher accuracy
of judgement-based effort estimates were estimation models not calibrated
to the organization using the model, and important contextual information
possessed by the experts not included in the formal estimation models.
Four of the reviewed studies evaluated effort estimates based on
a combination of expert judgement and models. The mean estimation
accuracy of the combination-based methods was similar to the best
of that of the other estimation methods.",1,"Estimation of software development work effort: evidence on expert
judgement and formal models"
34,"A systematic review of software development cost estimation studies
This paper aims to provide a basis for the improvement of software
estimation research through a systematic review of previous work.
The review identifies 304 software cost estimation papers in 76 journals
and classifies the papers according to research topic, estimation
approach, research approach, study context and data set. A Web-based
library of these cost estimation papers is provided to ease the identification
of relevant estimation research results. The review results combined
with other knowledge provide support for recommendations for future
software cost estimation research, including 1) increase the breadth
of the search for relevant studies, 2) search manually for relevant
papers within a carefully selected set of journals when completeness
is essential, 3) conduct more studies on estimation methods commonly
used by the software industry, and 4) increase the awareness of how
properties of the data sets impact the results when evaluating estimation
methods.",1,A systematic review of software development cost estimation studies
35,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review
The objective of this paper is to determine under what circumstances
individual organizations would be able to rely on cross-company-based
estimation models. We performed a systematic review of studies that
compared predictions from cross-company models with predictions from
within-company models based on analysis of project data. Ten papers
compared cross-company and within-company estimation models; however,
only seven presented independent results. Of those seven, three found
that cross-company models were not significantly different from within-company
models, and four found that cross-company models were significantly
worse than within-company models. Experimental procedures used by
the studies differed making it impossible to undertake formal meta-analysis
of the results. The main trend distinguishing study results was that
studies with small within-company data sets (i.e., $20 projects)
that used leave-one-out cross validation all found that the within-company
model was significantly different (better) from the cross-company
model. The results of this review are inconclusive. It is clear that
some organizations would be ill-served by cross-company models whereas
others would benefit. Further studies are needed, but they must be
independent (i.e., based on different data bases or at least different
single company data sets) and should address specific hypotheses
concerning the conditions that would favor cross-company or within-company
models. In addition, experimenters need to standardize their experimental
procedures to enable formal meta-analysis, and recommendations are
made in Section 3.",1,"Cross versus Within-Company Cost Estimation Studies: A Systematic
Review"
36,"Systematic review of Web engineering research
This paper uses a systematic literature review as means of investigating
the rigor of claims arising from Web engineering research. Rigor
is measured using criteria combined from software engineering research.
We reviewed 173 papers and results have shown that only 5% would
be considered rigorous methodologically. In addition to presenting
our results, we also provide suggestions for improvement of Web engineering
research based on lessons learnt by the software engineering community.",1,Systematic review of Web engineering research
